filerange 40000 42999
rangestart 40000 42999

// Original m01_tanis strings
// objectives
40500	Begin Harvesting. Collect 700 RU's.
40501	Build a Resource Collector and order it to start collecting resources.
40502	Build a Fighter Facility
40503	Build a Squadron of Interceptors.
40504	Research Plasma Bomb technology
40505	Build a Squadron of Bombers.
40506	Defeat Vaygr forces at Chimera.
40507	Use the Interceptors to destroy the target drones.
40508	Eliminate Vaygr Frigate at Station Xanhus using Strike groups
40509	Eliminate the Vaygr Hyperspace Gates and the Vaygr Fighters.
40510	Protect the Mothership
40511	Enter Hyperspace.

// More Description Stuff
40512	Click on the Power Station and then on the build menu to build a Torodial
40513	Warning: The Power Station will continue to take damage until power levels have stabilized!

40514   Power Station
40515   Build a Torodial Magnet on the Power Station

// location card
40520	TANIS BASE - GREAT WASTELANDS
40521	Estimated Time to Vaygr Reinforcements:  %1MINUTES%:%2SECONDS%
40522	MISSION FAILED
40523	MISSION $40966


40526   

// text
// intelevent_initialization
42000    Tanis Engineering to Mothership... Good to have you online.
42001    Communication uplink Confirmed. Beginning telemetry synchronization.
42002    Initiating telemetry data stream...
42003    Wait. Something's wrong. Power readings are well below expected parameters.
42004    Confirmed. Main Reactor barely maintaining 10% output. Most systems are dropping into emergency power mode.
42005    Attempting to reroute and compensate for power inefficiency.
42006    Compensation failed. Core power draw exceeding available capacity.
42007    Power Station's arrival is overdue. They should have been here before core transfer...
42008    Hyperspace signature detected. Power Station emergence confirmed.
42009    Power feed integration complete. Minimum acceptable power levels reached. We are ready to begin launch trials.


// intelevent_buildpowermodule
41901 Power allocation failure. Unable to proceed with combat trials.
41902 The Power Station is overloaded and is unable to maintain sufficient power for the fleet.
41903 Engineering believes it can enhance the output of the power station through the construction of Torodial Magnets.
41904 The Station will continue to take damage until power levels have stabilized. Build a Torodial Magnet on the Power Station immediately.


// intelevent_beginharvesting
// FI
40530	This is Fleet Intelligence.
40531	Our task is to analyze sensor data and generate mission objectives.
40532	Before launching the Mothership we must conduct a series of trials to ensure all critical systems are operational.
40533	Throughout these trials the Mothership will be running with a minimal crew, and will remain docked with Tanis.
40534	Once these trials are complete, we will launch the Mothership and test the Hyperspace Core.
40535	The first trial will test the Resourcing System.
40536	A Resource Collector is standing by.
40537	Begin retrieval of resource containers at this location.

// intelevent_subsystemconstruction
// FC
40540	Resourcing Systems fully operational.
40541	Trial successful.
// FI
40542	We will now test the Mothership's production capabilities.
40543	Begin construction of a Fighter Facility subsystem.

// intelevent_constructinterceptors
// FC
40550	Fighter Facility Subsystem complete.
40551	Engineering is online and ready for fighter production.
// FI
40552	To test basic combat capabilities, construct two Interceptor Squadrons.

// speechevent_firstgatedestroyed
// FI
40560	Gate destroyed.
40561	Destroy all the remaining hyperspace gates.

// intelevent_movetochimera
// FI
// 40570	Stand by to begin combat trials.
40570    Torodial Magnet construction completed. Fleet power issues have been resolved. Stand by to begin combat trials.
40571	Perimeter Station Chimera will assist by providing target drones.
